N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
160,오뚜기,"485,500","3,000",-0.61%,"5,000","17,827","3,672",12.53,"1,616",20.31,7.93,
161,농심,"285,500","4,500",-1.55%,"5,000","17,366","6,083",13.40,"10,277",15.68,7.50,
162,대웅,"29,500",750,-2.48%,500,"17,152","58,142",3.87,"89,989",18.24,15.10,
163,JB금융지주,"8,690",10,-0.11%,"5,000","17,118","196,983",40.53,"112,870",3.77,10.06,
164,HDC현대산업개발,"25,850",500,-1.90%,"5,000","17,037","65,907",10.74,"211,205",9.23,8.85,
165,DGB금융지주,"10,050",120,+1.21%,"5,000","16,999","169,146",50.07,"490,141",3.99,6.93,
166,동국제강,"17,200",350,-1.99%,"5,000","16,414","95,433",23.67,"291,662",5.60,3.35,
167,KODEX 레버리지,"22,565",340,-1.48%,0,"15,976","70,800",2.62,"12,629,165",N/A,N/A,
168,KODEX 삼성그룹,"9,670",55,-0.57%,0,"15,714","162,500",0.17,"40,335",N/A,N/A,
169,프레스티지바이오파마,"26,100",900,-3.33%,0,"15,685","60,096",63.61,"280,762",-183.80,-1.78,
170,대웅제약,"132,000","2,000",-1.49%,"2,500","15,294","11,587",7.30,"22,363",515.62,2.38,
171,금호타이어,"5,260",80,-1.50%,"5,000","15,110","287,260",4.21,"148,988",71.08,-6.74,
172,두산,"91,100","2,400",-2.57%,"5,000","15,053","16,524",11.00,"21,415",-149.10,-34.34,
173,롯데관광개발,"21,550",100,-0.46%,500,"14,929","69,276",6.99,"855,753",-9.55,-30.43,
174,한국앤컴퍼니,"15,700",100,+0.64%,500,"14,905","94,935",9.82,"46,611",6.01,5.08,
175,PI첨단소재,"50,500",900,-1.75%,500,"14,830","29,366",18.14,"94,235",27.17,15.62,
176,TIGER 단기통안채,"100,345",5,0.00%,0,"14,823","14,772",0.80,"9,196",N/A,N/A,
177,DL,"69,800","1,800",-2.51%,"5,000","14,627","20,956",14.29,"111,101",2.25,11.84,
178,동원시스템즈,"56,700","2,100",-3.57%,"5,000","14,526","25,619",1.83,"45,003",26.95,10.97,
179,KODEX 종합채권(AA-이상)액티브,"108,115",125,-0.12%,0,"14,495","13,407",0.00,216,N/A,N/A,
180,KODEX 단기채권PLUS,"103,250",5,0.00%,0,"14,460","14,005",0.00,"672,906",N/A,N/A,
181,코스맥스,"126,500","1,500",+1.20%,500,"14,357","11,350",24.07,"48,848",29.31,6.23,
182,코스모신소재,"47,600",800,-1.65%,"1,000","14,321","30,087",7.79,"745,139",75.44,7.16,
183,아이에스동서,"45,850","1,350",+3.03%,500,"14,164","30,893",4.61,"33,974",13.07,10.92,
